1272148.7029574413;
128259.83738151584;
555925.2086813265;
83404.69308653;
27210.202703173276;
30527.037537525175;
12483.48143113589;
36586.400325758295;
53622.79534974483;
5404.08109080258;
58044.55225622279;
8666.320734186826;
24989.771457636754;
99017.36742048686;
54678.393631996616;
227355.4413509688;
40367.60072579728;
52332.16225057631;
82764.79565415868;
