"262";92.38;16.62
"263";95.38;17.15
"264";95.5;17.18
"265";96.38;17.33
"266";95.25;17.13
"267";92.88;16.7
"268";95.62;17.2
"269";93.5;16.82
"270";93.12;16.75
"271";93.75;16.86
"272";93.25;16.77
"273";91.88;16.53
"274";91.75;16.5
"275";90;16.19
"276";91.38;16.44
"277";92.25;16.59
"278";91.25;16.41
"279";89.88;16.38
"280";89.25;16.27
"281";89.75;16.36
"282";90.25;16.45
"283";92.12;16.79
"284";90.75;16.54
"285";89.75;16.36
"286";89.62;16.34
"287";89.62;16.34
"288";89.75;16.36
"289";89.88;16.38
"290";89.38;16.29
"291";88.25;16.09
"292";88.25;16.09
"293";87.75;16
"294";86.88;15.84
"295";87.5;15.95
"296";88.25;16.09
"297";87.38;15.93
"298";86.62;15.79
"299";86.38;15.74
"300";87.38;15.93
"301";87.88;16.02
"302";87.75;16
"303";89.12;16.25
"304";89.62;16.34
"305";88.75;16.18
"306";87.62;15.97
"307";87.5;15.95
"308";85.88;15.65
"309";86.12;15.7
"310";85.62;15.61
"311";85.25;15.54
"312";85.12;15.52
"313";84.12;15.33
"314";83.25;15.18
"315";83.38;15.2
"316";83.5;15.22
"317";82.88;15.11
"318";82.25;14.99
"319";81.75;14.9
"320";83.12;15.15
"321";82.38;15.02
"322";84.88;15.47
"323";85.12;15.52
"324";86;15.68
"325";87.5;15.95
"326";88.25;16.09
"327";88.5;16.13
"328";88.62;16.15
"329";89.5;16.31
"330";90;16.41
"331";90.12;16.43
"332";89.25;16.27
"333";88.12;16.06
"334";88.12;16.06
"335";88.5;16.13
"336";88.12;16.06
"337";90.75;16.54
"338";90.62;16.52
"339";92.5;16.86
"340";93.88;17.11
"341";93.38;17.02
"342";93.75;17.31
"343";93.12;17.2
"344";93.88;17.34
"345";93.5;17.27
"346";92.38;17.06
"347";91.75;16.94
"348";91.62;16.92
"349";90.75;16.76
"350";92.5;17.08
"351";91.62;16.92
"352";91.5;16.9
"353";91.75;16.94
"354";90.5;16.71
"355";90.88;16.78
"356";91.12;16.83
"357";90.75;16.76
"358";90.62;16.74
"359";90.62;16.74
"360";89.75;16.57
"361";89;16.44
"362";90.38;16.69
"363";91;16.81
"364";90.62;16.74
"365";90.12;16.64
"366";92;16.99
"367";93;17.17
"368";94.12;17.38
"369";93.12;17.2
"370";92.62;17.11
"371";94.5;17.45
"372";95;17.54
"373";95.25;17.59
"374";95.88;17.71
"375";97.62;18.03
"376";97.12;17.94
"377";97.25;17.96
"378";98.62;18.21
"379";97.88;18.08
"380";98.25;18.14
"381";96.88;17.89
"382";98.12;18.12
"383";96.75;17.87
"384";97.88;18.08
"385";97.5;18.01
"386";97.62;18.03
"387";97.88;18.08
"388";97.88;18.08
"389";99.25;18.33
"390";100.25;18.51
"391";95;17.54
"392";92.88;17.15
"393";93.75;17.31
"394";92.5;17.08
"395";92.75;17.13
"396";92.75;17.13
"397";92.38;17.06
"398";93.75;17.31
"399";94.38;17.43
"400";95.38;17.61
"401";94.75;17.5
"402";94.88;17.52
"403";94.25;17.41
"404";91.62;16.92
"405";88.25;16.52
"406";87.12;16.31
"407";88.5;16.56
"408";88;16.47
"409";88.38;16.54
"410";88.12;16.49
"411";88.38;16.54
"412";88.62;16.59
"413";88;16.47
"414";86.62;16.21
"415";85.88;16.07
"416";86;16.09
"417";85.12;15.93
"418";87.12;16.31
"419";86.38;16.16
"420";87.38;16.35
"421";87.25;16.33
"422";86.62;16.21
"423";87.62;16.4
"424";87.5;16.38
"425";86.62;16.21
"426";86;16.09
"427";86.12;16.12
"428";86.88;16.26
"429";87.5;16.38
"430";88;16.47
"431";88.38;16.54
"432";85.5;16
"433";83.12;15.56
"434";83.75;15.67
"435";83.5;15.63
