"1991-09-16",102.87,7364400
"1991-09-17",103.37,5577200
"1991-09-18",104.5,5658400
"1991-09-19",105.37,6975200
"1991-09-20",104.87,7539200
"1991-09-23",104.25,3130400
"1991-09-24",104.87,5996800
"1991-09-25",105.62,3209200
"1991-09-26",104.5,3786800
"1991-09-27",104.62,6364400
"1991-09-30",102.37,4936400
"1991-10-01",103.62,2809200
"1991-10-02",102.5,4178800
"1991-10-03",100.87,5180000
"1991-10-04",99.12,5280800
"1991-10-07",98.37,5110400
"1991-10-08",99.12,5755200
"1991-10-09",97.75,7638000
"1991-10-10",97.62,5668800
"1991-10-11",100,3574400
"1991-10-14",99.25,3164000
"1991-10-15",101.87,12134400
"1991-10-16",103.75,8103600
"1991-10-17",101,6527600
"1991-10-18",100,5262800
"1991-10-21",100.25,3765200
"1991-10-22",100.25,4621600
"1991-10-23",98.62,6324000
"1991-10-24",98,3886400
"1991-10-25",98.25,3980400
"1991-10-28",98.25,3588800
"1991-10-29",98.37,4721600
"1991-10-30",99,6108400
"1991-10-31",100.12,4530000
"1991-11-01",98.37,8552000
"1991-11-04",97,4563600
"1991-11-05",97.25,4686400
"1991-11-06",96.75,4031200
"1991-11-07",98.37,7596800
"1991-11-08",101,5540000
"1991-11-11",100.12,2657200
"1991-11-12",100.25,4600000
"1991-11-13",98.62,3690400
"1991-11-14",99.12,4410000
"1991-11-15",100,7829200
"1991-11-18",96.87,6846000
"1991-11-19",96.62,8497200
"1991-11-20",97,5392800
"1991-11-21",95.12,6108000
"1991-11-22",95.37,5471200
"1991-11-25",95,4254000
"1991-11-26",95.62,7790800
"1991-11-27",96.62,7215600
"1991-11-29",93.87,6569600
"1991-12-02",91.12,9391200
"1991-12-03",91.75,6254400
"1991-12-04",91.37,9360000
"1991-12-05",90.12,7571200
"1991-12-06",90,10786400
"1991-12-09",89.37,15580400
"1991-12-10",85.37,20028000
"1991-12-11",87,10360800
"1991-12-12",88.5,8372400
"1991-12-13",88.75,7117200
"1991-12-16",87.75,5168400
"1991-12-17",86.75,5928000
"1991-12-18",85.5,7624000
"1991-12-19",85.62,7609600
"1991-12-20",86,12893200
"1991-12-23",85.87,9367200
"1991-12-24",88.25,6876800
"1991-12-26",88.25,4915200
"1991-12-27",88.37,6164000
"1991-12-30",89.75,7784800
"1991-12-31",90.12,7626000
"1992-01-02",89,7123600
"1992-01-03",90.25,5802400
"1992-01-06",91,8794000
"1992-01-07",92,7892000
"1992-01-08",94,10063600
"1992-01-09",92.62,8160400
"1992-01-10",91.37,6446000
"1992-01-13",90.75,5333200
"1992-01-14",90.37,5353600
"1992-01-15",94,12415600
"1992-01-16",95.12,9012800
"1992-01-17",95,14328000
"1992-01-20",96.25,4839600
"1992-01-21",95.25,5705600
"1992-01-22",92.87,5093600
"1992-01-23",95.5,5356800
"1992-01-24",93.62,4221200
"1992-01-27",93.5,2872000
"1992-01-28",93.87,3914000
"1992-01-29",92.75,5754400
"1992-01-30",92.12,4190400
"1992-01-31",91.87,5962000
"1992-02-03",90,6077200
"1992-02-04",91.12,6010400
"1992-02-05",91.75,6530000
"1992-02-06",90.37,5606800
"1992-02-07",90,6896800
"1992-02-10",89.62,3783200
"1992-02-11",89.75,4522800
"1992-02-12",90.5,6326000
"1992-02-13",92.75,7816000
"1992-02-14",90.5,5180400
"1992-02-18",90,5258000
"1992-02-19",90,4593600
"1992-02-20",89.75,5452800
"1992-02-21",89.75,5784400
"1992-02-24",89.87,4226000
"1992-02-25",89.25,6319200
"1992-02-26",88.37,6221200
"1992-02-27",88,5926400
"1992-02-28",88.37,6988800
"1992-03-02",86.87,5765600
"1992-03-03",87.62,6309200
"1992-03-04",88.25,7210000
"1992-03-05",86.75,6630800
"1992-03-06",86.75,7251200
"1992-03-09",86.37,6315200
"1992-03-10",87.75,5055200
"1992-03-11",87.87,4870400
"1992-03-12",87.62,5398800
"1992-03-13",90.25,5373600
"1992-03-16",89.25,3903200
"1992-03-17",88.75,5886800
"1992-03-18",87.37,4292400
"1992-03-19",85.87,7691600
"1992-03-20",85.87,7849600
"1992-03-23",86,4996000
"1992-03-24",85.75,7334000
"1992-03-25",85.12,5261200
"1992-03-26",85.37,6360400
"1992-03-27",84,8572400
"1992-03-30",83.37,5402000
"1992-03-31",83.37,6479200
"1992-04-01",83.5,7874400
"1992-04-02",83.25,8291200
"1992-04-03",82.12,6910000
"1992-04-06",82,5685200
"1992-04-07",83.37,7705600
"1992-04-08",82.62,12080400
"1992-04-09",85.37,9102400
"1992-04-10",85.62,8211600
"1992-04-13",86.12,6849200
"1992-04-14",89.5,13266400
"1992-04-15",88.75,8862400
"1992-04-16",88.5,8252400
"1992-04-20",88.5,7171200
"1992-04-21",89.62,8468800
"1992-04-22",89.87,5299600
"1992-04-23",90,5901600
"1992-04-24",89.12,3972400
"1992-04-27",87.87,4003600
"1992-04-28",88.12,4435600
"1992-04-29",88.87,5074400
"1992-04-30",88.5,6727600
"1992-05-01",91.25,8297600
"1992-05-04",92.5,9364800
"1992-05-05",92.5,8179600
"1992-05-06",94,8116400
"1992-05-07",92.75,7582800
"1992-05-08",94.12,5698800
"1992-05-11",93.5,6591200
"1992-05-12",93.75,5132000
"1992-05-13",93.5,5552800
"1992-05-14",92.12,5878000
"1992-05-15",91.37,6408400
"1992-05-18",91.62,4679600
"1992-05-19",90.87,4916000
"1992-05-20",92.37,4626000
"1992-05-21",91.37,3735600
"1992-05-22",91.5,3357600
"1992-05-26",91.25,3876400
"1992-05-27",90.37,3630000
"1992-05-28",90.87,3252000
"1992-05-29",91.37,4138800
"1992-06-01",90.5,4687200
"1992-06-02",90.62,4106400
"1992-06-03",90.62,4516400
"1992-06-04",89.62,4184000
"1992-06-05",88.62,6172800
"1992-06-08",90.37,3882400
"1992-06-09",91,3520400
"1992-06-10",90.5,7176400
"1992-06-11",90.5,7861600
"1992-06-12",92.5,11170400
"1992-06-15",92.5,7490800
"1992-06-16",94,6823200
"1992-06-17",92.87,7372800
"1992-06-18",93.37,12766800
"1992-06-19",95,9402000
"1992-06-22",94.75,7436800
"1992-06-23",95.5,8334400
"1992-06-24",96.37,8484400
"1992-06-25",97.62,7344000
"1992-06-26",96.75,4185600
"1992-06-29",97.87,5179600
"1992-06-30",98.62,4276000
"1992-07-01",97.87,6107600
"1992-07-02",98.25,5085200
"1992-07-06",97.12,4594800
"1992-07-07",98.12,5414400
"1992-07-08",96.75,5013200
"1992-07-09",97.75,4561600
"1992-07-10",97.75,3664400
"1992-07-13",98,4772800
"1992-07-14",97.87,3684000
"1992-07-15",98,8332000
"1992-07-16",99,10243600
"1992-07-17",97,23750000
"1992-07-20",93.25,11625200
"1992-07-21",93.12,7960400
"1992-07-22",93.5,6144400
"1992-07-23",92.75,4278400
"1992-07-24",92.62,6149200
"1992-07-27",92.75,3493200
"1992-07-28",92.62,4620400
"1992-07-29",94.62,6348800
"1992-07-30",94.37,4461200
"1992-07-31",94.87,3285600
"1992-08-03",94.5,2655600
"1992-08-04",94.75,2539200
"1992-08-05",92.62,10568800
"1992-08-06",90,13726800
"1992-08-07",88.37,11211200
"1992-08-10",87.25,6414000
"1992-08-11",88.37,5900400
"1992-08-12",88.12,5770000
"1992-08-13",88.62,5375600
"1992-08-14",88.37,3994400
"1992-08-17",88.87,2919600
"1992-08-18",88.62,3312800
"1992-08-19",88.25,5366400
"1992-08-20",86.62,5785200
"1992-08-21",86.37,7381200
"1992-08-24",85.62,5701600
"1992-08-25",85.37,7609600
"1992-08-26",87,3236400
"1992-08-27",86.75,4705200
"1992-08-28",87.37,3150800
"1992-08-31",87.5,3956000
"1992-09-01",86.62,3857600
"1992-09-02",87.5,3192800
"1992-09-03",87.75,4713600
"1992-09-04",86.25,3150800
"1992-09-08",85.87,3048800
"1992-09-09",86.25,3424400
"1992-09-10",87,4386800
"1992-09-11",87.25,4110400
"1992-09-14",88.62,5339200
"1992-09-15",87,7314800
"1992-09-16",84,19267600
"1992-09-17",83.25,9558400
"1992-09-18",83.37,9266400
"1992-09-21",83.87,5025200
"1992-09-22",84.37,6032800
"1992-09-23",83.37,4450000
"1992-09-24",83.75,6388800
"1992-09-25",82.5,6580400
"1992-09-28",82,4589200
"1992-09-29",82.25,8558800
"1992-09-30",80.37,12027200
"1992-10-01",81,8548800
"1992-10-02",80.25,13153200
"1992-10-05",78.12,15406400
"1992-10-06",79.12,7226400
"1992-10-07",79.87,5016800
"1992-10-08",78.87,4831200
"1992-10-09",79.37,5417600
"1992-10-12",78.62,3519600
"1992-10-13",78.75,5924000
"1992-10-14",78.37,7798800
"1992-10-15",73.25,33316000
"1992-10-16",72.87,30614000
"1992-10-19",70.12,15607200
"1992-10-20",69.25,13419600
"1992-10-21",68.62,11067600
"1992-10-22",68.75,9732400
"1992-10-23",68.5,8948400
"1992-10-26",68.5,10102800
"1992-10-27",67.12,18146800
"1992-10-28",65.75,11386000
"1992-10-29",67.37,10283200
"1992-10-30",66,9178000
"1992-11-02",67,9288400
"1992-11-03",68.5,9500800
"1992-11-04",69,8319200
"1992-11-05",67.12,8544800
"1992-11-06",65.37,10569200
"1992-11-09",66.25,8865600
"1992-11-10",67.62,8748400
"1992-11-11",65.62,12580400
"1992-11-12",65.12,12532000
"1992-11-13",64.87,7405200
"1992-11-16",64.75,7060400
"1992-11-17",64.87,8082800
"1992-11-18",64.12,10828400
"1992-11-19",63,13230400
"1992-11-20",61.38,14860800
"1992-11-23",62.38,8880800
"1992-11-24",63.75,11388400
"1992-11-25",65.37,7154800
"1992-11-27",65.87,4918000
"1992-11-30",67.87,12956000
"1992-12-01",68.37,8359200
"1992-12-02",67.75,5331600
"1992-12-03",67.87,5785600
"1992-12-04",67.37,5785600
"1992-12-07",67.25,6673600
"1992-12-08",65.5,8853600
"1992-12-09",64,14416400
"1992-12-10",61.63,12756000
"1992-12-11",61.75,7787200
"1992-12-14",62.38,10167200
"1992-12-15",59.88,48774000
"1992-12-16",53.63,53685200
"1992-12-17",52.13,32101600
"1992-12-18",53.13,30629600
"1992-12-21",51.25,29538000
"1992-12-22",50,24462800
"1992-12-23",51.63,16744800
"1992-12-24",51.38,7149200
"1992-12-28",52.88,11082400
"1992-12-29",50.13,20006000
"1992-12-30",50.38,15928400
"1992-12-31",50.13,16729600
"1993-01-04",51.75,14225600
"1993-01-05",50,13935200
"1993-01-06",48.88,19358400
"1993-01-07",48,14734800
"1993-01-08",46.75,15790800
"1993-01-11",46.75,15498800
"1993-01-12",48,19464400
"1993-01-13",49,12833200
"1993-01-14",48.38,17147200
"1993-01-15",48.25,13492800
"1993-01-18",48.88,11902000
"1993-01-19",50.25,20156800
