109;110.25;112.12;-1
106.88;109;110.25;1
108.38;106.88;109;-1
108.12;108.38;106.88;-1
106.75;108.12;108.38;1
107.5;106.75;108.12;1
109.12;107.5;106.75;1
115.75;109.12;107.5;1
117.62;115.75;109.12;1
119.62;117.62;115.75;-1
118;119.62;117.62;1
119.25;118;119.62;1
121;119.25;118;1
122.62;121;119.25;1
124.25;122.62;121;1
124.5;124.25;122.62;1
127;124.5;124.25;-1
126.75;127;124.5;1
126.88;126.75;127;1
127.38;126.88;126.75;1
128.5;127.38;126.88;1
129.88;128.5;127.38;-1
128.5;129.88;128.5;1
129.5;128.5;129.88;1
132.38;129.5;128.5;1
132.75;132.38;129.5;1
134.62;132.75;132.38;1
135;134.62;132.75;1
137.38;135;134.62;1
139.5;137.38;135;-1
137.88;139.5;137.38;-1
135.5;137.88;139.5;-1
133.25;135.5;137.88;1
133.62;133.25;135.5;-1
129.75;133.62;133.25;1
130.88;129.75;133.62;-1
128.75;130.88;129.75;1
131;128.75;130.88;-1
130.62;131;128.75;1
133.5;130.62;131;-1
132.88;133.5;130.62;-1
132.5;132.88;133.5;-1
131.25;132.5;132.88;-1
129.12;131.25;132.5;-1
127;129.12;131.25;1
129.12;127;129.12;-1
128.12;129.12;127;-1
126.62;128.12;129.12;1
127.88;126.62;128.12;-1
115.12;127.88;126.62;-1
114.12;115.12;127.88;-1
111.88;114.12;115.12;-1
111.62;111.88;114.12;1
113.5;111.62;111.88;1
113.88;113.5;111.62;-1
112.88;113.88;113.5;1
113.88;112.88;113.88;-1
112.25;113.88;112.88;1
113.25;112.25;113.88;-1
113.12;113.25;112.25;1
113.5;113.12;113.25;-1
112.62;113.5;113.12;1
113;112.62;113.5;-1
111.25;113;112.62;-1
111.25;111.25;113;-1
110.62;111.25;111.25;-1
108.5;110.62;111.25;-1
106.88;108.5;110.62;1
109.25;106.88;108.5;1
109.88;109.25;106.88;-1
109.75;109.88;109.25;-1
109.5;109.75;109.88;-1
108.5;109.5;109.75;-1
108.38;108.5;109.5;-1
108.25;108.38;108.5;-1
108;108.25;108.38;-1
107.38;108;108.25;-1
104.88;107.38;108;-1
103;104.88;107.38;1
104;103;104.88;1
105.88;104;103;-1
103.62;105.88;104;-1
103.38;103.62;105.88;-1
101.88;103.38;103.62;1
103.75;101.88;103.38;1
105.88;103.75;101.88;-1
103.38;105.88;103.75;1
105.88;103.38;105.88;1
106;105.88;103.38;-1
102.75;106;105.88;1
104.12;102.75;106;-1
103.75;104.12;102.75;-1
103.25;103.75;104.12;-1
101.5;103.25;103.75;1
104.62;101.5;103.25;-1
104.62;104.62;101.5;1
105;104.62;104.62;1
105.12;105;104.62;-1
104.12;105.12;105;1
104.38;104.12;105.12;1
106.12;104.38;104.12;1
106.38;106.12;104.38;-1
105;106.38;106.12;-1
103.25;105;106.38;-1
103;103.25;105;-1
102;103;103.25;1
102.38;102;103;-1
102.25;102.38;102;-1
101.5;102.25;102.38;-1
100.62;101.5;102.25;-1
100.38;100.62;101.5;-1
99.5;100.38;100.62;1
100.88;99.5;100.38;1
101;100.88;99.5;-1
99.12;101;100.88;1
99.62;99.12;101;-1
98.38;99.62;99.12;1
99.38;98.38;99.62;-1
98.62;99.38;98.38;-1
97.62;98.62;99.38;-1
97.12;97.62;98.62;1
98.38;97.12;97.62;1
99.12;98.38;97.12;-1
98.12;99.12;98.38;1
98.62;98.12;99.12;1
100.5;98.62;98.12;-1
99.5;100.5;98.62;-1
98.75;99.5;100.5;-1
98.25;98.75;99.5;1
99.38;98.25;98.75;-1
99.25;99.38;98.25;-1
96.62;99.25;99.38;-1
96.25;96.62;99.25;1
98.25;96.25;96.62;1
100.5;98.25;96.25;1
102;100.5;98.25;-1
100.62;102;100.5;1
100.75;100.62;102;-1
100.5;100.75;100.62;-1
100.5;100.5;100.75;1
101.38;100.5;100.5;1
101.62;101.38;100.5;-1
101.25;101.62;101.38;-1
101.25;101.25;101.62;-1
100.38;101.25;101.25;1
101;100.38;101.25;-1
100.38;101;100.38;-1
99;100.38;101;1
99.25;99;100.38;-1
98.88;99.25;99;-1
98.62;98.88;99.25;1
99;98.62;98.88;-1
98.5;99;98.62;-1
98.38;98.5;99;-1
96.5;98.38;98.5;-1
95;96.5;98.38;1
95.75;95;96.5;-1
95.62;95.75;95;-1
94.38;95.62;95.75;1
94.88;94.38;95.62;1
95.12;94.88;94.38;1
95.25;95.12;94.88;-1
94.5;95.25;95.12;1
95.5;94.5;95.25;1
96.88;95.5;94.5;1
98;96.88;95.5;1
98.62;98;96.88;-1
98.25;98.62;98;1
99.38;98.25;98.62;1
101;99.38;98.25;-1
99.62;101;99.38;1
101.38;99.62;101;1
104;101.38;99.62;-1
102.88;104;101.38;1
103.62;102.88;104;1
104.88;103.62;102.88;1
105.38;104.88;103.62;-1
104.88;105.38;104.88;-1
104.25;104.88;105.38;1
104.62;104.25;104.88;1
105.88;104.62;104.25;-1
105;105.88;104.62;-1
104.88;105;105.88;-1
102.25;104.88;105;1
103.62;102.25;104.88;-1
102.62;103.62;102.25;-1
101.12;102.62;103.62;-1
99;101.12;102.62;-1
98.25;99;101.12;1
98.88;98.25;99;-1
98;98.88;98.25;-1
97.25;98;98.88;1
99.75;97.25;98;1
99.88;99.75;97.25;1
101.25;99.88;99.75;1
104.25;101.25;99.88;-1
101.62;104.25;101.25;-1
99.88;101.62;104.25;1
100.38;99.88;101.62;-1
100.25;100.38;99.88;-1
98.5;100.25;100.38;-1
98.5;98.5;100.25;-1
98.25;98.5;98.5;-1
98;98.25;98.5;1
98.25;98;98.25;1
98.88;98.25;98;1
100.25;98.88;98.25;-1
98.25;100.25;98.88;1
98.38;98.25;100.25;-1
97;98.38;98.25;-1
96.62;97;98.38;-1
96.62;96.62;97;1
99.88;96.62;96.62;1
100.25;99.88;96.62;-1
100.12;100.25;99.88;-1
99.38;100.12;100.25;-1
98.88;99.38;100.12;1
100;98.88;99.38;-1
96.25;100;98.88;1
97.25;96.25;100;-1
96.5;97.25;96.25;-1
95.5;96.5;97.25;-1
95.38;95.5;96.5;-1
94.75;95.38;95.5;1
95.12;94.75;95.38;1
97.88;95.12;94.75;-1
94.25;97.88;95.12;-1
92.5;94.25;97.88;-1
92.25;92.5;94.25;-1
91.25;92.25;92.5;-1
90;91.25;92.25;1
90.25;90;91.25;-1
89;90.25;90;-1
85.12;89;90.25;1
86.25;85.12;89;1
87.75;86.25;85.12;1
88.62;87.75;86.25;-1
88;88.62;87.75;-1
86.88;88;88.62;-1
85.5;86.88;88;1
86.25;85.5;86.88;-1
84.88;86.25;85.5;1
85.75;84.88;86.25;1
88.25;85.75;84.88;-1
88.25;88.25;85.75;-1
88.25;88.25;88.25;1
89.38;88.25;88.25;1
90.38;89.38;88.25;-1
89;90.38;89.38;1
90.25;89;90.38;1
90.38;90.25;89;1
92.25;90.38;90.25;1
94.62;92.25;90.38;-1
92.38;94.62;92.25;-1
91.25;92.38;94.62;-1
90.88;91.25;92.38;-1
90.25;90.88;91.25;1
92.38;90.25;90.88;1
95.38;92.38;90.25;1
95.5;95.38;92.38;1
96.38;95.5;95.38;-1
95.25;96.38;95.5;-1
92.88;95.25;96.38;1
95.62;92.88;95.25;-1
93.5;95.62;92.88;-1
93.12;93.5;95.62;1
93.75;93.12;93.5;-1
93.25;93.75;93.12;-1
91.88;93.25;93.75;-1
91.75;91.88;93.25;-1
90;91.75;91.88;1
91.38;90;91.75;1
92.25;91.38;90;-1
91.25;92.25;91.38;-1
89.88;91.25;92.25;-1
89.25;89.88;91.25;1
89.75;89.25;89.88;1
90.25;89.75;89.25;1
92.12;90.25;89.75;-1
90.75;92.12;90.25;-1
89.75;90.75;92.12;-1
89.62;89.75;90.75;-1
89.62;89.62;89.75;1
89.75;89.62;89.62;1
89.88;89.75;89.62;-1
89.38;89.88;89.75;-1
88.25;89.38;89.88;-1
88.25;88.25;89.38;-1
87.75;88.25;88.25;-1
86.88;87.75;88.25;1
87.5;86.88;87.75;1
88.25;87.5;86.88;-1
87.38;88.25;87.5;-1
86.62;87.38;88.25;-1
86.38;86.62;87.38;1
87.38;86.38;86.62;1
87.88;87.38;86.38;-1
87.75;87.88;87.38;1
89.12;87.75;87.88;1
89.62;89.12;87.75;-1
88.75;89.62;89.12;-1
87.62;88.75;89.62;-1
87.5;87.62;88.75;-1
85.88;87.5;87.62;1
86.12;85.88;87.5;-1
85.62;86.12;85.88;-1
85.25;85.62;86.12;-1
85.12;85.25;85.62;-1
84.12;85.12;85.25;-1
83.25;84.12;85.12;1
83.38;83.25;84.12;1
83.5;83.38;83.25;-1
82.88;83.5;83.38;-1
82.25;82.88;83.5;-1
81.75;82.25;82.88;1
83.12;81.75;82.25;-1
82.38;83.12;81.75;1
84.88;82.38;83.12;1
85.12;84.88;82.38;1
86;85.12;84.88;1
87.5;86;85.12;1
88.25;87.5;86;1
88.5;88.25;87.5;1
88.62;88.5;88.25;1
89.5;88.62;88.5;1
90;89.5;88.62;1
90.12;90;89.5;-1
89.25;90.12;90;-1
88.12;89.25;90.12;-1
88.12;88.12;89.25;1
88.5;88.12;88.12;-1
88.12;88.5;88.12;1
90.75;88.12;88.5;-1
90.62;90.75;88.12;1
92.5;90.62;90.75;1
93.88;92.5;90.62;-1
93.38;93.88;92.5;1
93.75;93.38;93.88;-1
93.12;93.75;93.38;1
93.88;93.12;93.75;-1
93.5;93.88;93.12;-1
92.38;93.5;93.88;-1
91.75;92.38;93.5;-1
91.62;91.75;92.38;-1
90.75;91.62;91.75;1
92.5;90.75;91.62;-1
91.62;92.5;90.75;-1
91.5;91.62;92.5;1
91.75;91.5;91.62;-1
90.5;91.75;91.5;1
90.88;90.5;91.75;1
91.12;90.88;90.5;-1
