109;110.25;112.12;106.88
106.88;109;112.5;108.38
108.38;106.88;112.12;108.12
108.12;108.38;110.25;106.75
106.75;108.12;109;107.5
107.5;106.75;106.88;109.12
109.12;107.5;108.38;115.75
115.75;109.12;108.12;117.62
117.62;115.75;106.75;119.62
119.62;117.62;107.5;118
118;119.62;109.12;119.25
119.25;118;115.75;121
121;119.25;117.62;122.62
122.62;121;119.62;124.25
124.25;122.62;118;124.5
124.5;124.25;119.25;127
127;124.5;121;126.75
126.75;127;122.62;126.88
126.88;126.75;124.25;127.38
127.38;126.88;124.5;128.5
128.5;127.38;127;129.88
129.88;128.5;126.75;128.5
128.5;129.88;126.88;129.5
129.5;128.5;127.38;132.38
132.38;129.5;128.5;132.75
132.75;132.38;129.88;134.62
134.62;132.75;128.5;135
135;134.62;129.5;137.38
137.38;135;132.38;139.5
139.5;137.38;132.75;137.88
137.88;139.5;134.62;135.5
135.5;137.88;135;133.25
133.25;135.5;137.38;133.62
133.62;133.25;139.5;129.75
129.75;133.62;137.88;130.88
130.88;129.75;135.5;128.75
128.75;130.88;133.25;131
131;128.75;133.62;130.62
130.62;131;129.75;133.5
133.5;130.62;130.88;132.88
132.88;133.5;128.75;132.5
132.5;132.88;131;131.25
131.25;132.5;130.62;129.12
129.12;131.25;133.5;127
127;129.12;132.88;129.12
129.12;127;132.5;128.12
128.12;129.12;131.25;126.62
126.62;128.12;129.12;127.88
127.88;126.62;127;115.12
115.12;127.88;129.12;114.12
114.12;115.12;128.12;111.88
111.88;114.12;126.62;111.62
111.62;111.88;127.88;113.5
113.5;111.62;115.12;113.88
113.88;113.5;114.12;112.88
112.88;113.88;111.88;113.88
113.88;112.88;111.62;112.25
112.25;113.88;113.5;113.25
113.25;112.25;113.88;113.12
113.12;113.25;112.88;113.5
113.5;113.12;113.88;112.62
112.62;113.5;112.25;113
113;112.62;113.25;111.25
111.25;113;113.12;111.25
111.25;111.25;113.5;110.62
110.62;111.25;112.62;108.5
108.5;110.62;113;106.88
106.88;108.5;111.25;109.25
109.25;106.88;111.25;109.88
109.88;109.25;110.62;109.75
109.75;109.88;108.5;109.5
109.5;109.75;106.88;108.5
108.5;109.5;109.25;108.38
108.38;108.5;109.88;108.25
108.25;108.38;109.75;108
108;108.25;109.5;107.38
107.38;108;108.5;104.88
104.88;107.38;108.38;103
103;104.88;108.25;104
104;103;108;105.88
105.88;104;107.38;103.62
103.62;105.88;104.88;103.38
103.38;103.62;103;101.88
101.88;103.38;104;103.75
103.75;101.88;105.88;105.88
105.88;103.75;103.62;103.38
103.38;105.88;103.38;105.88
105.88;103.38;101.88;106
106;105.88;103.75;102.75
102.75;106;105.88;104.12
