106.88;109;110.25;112.12;106.88
108.38;106.88;109;112.5;108.38
108.12;108.38;106.88;112.12;108.12
106.75;108.12;108.38;110.25;106.75
107.5;106.75;108.12;109;107.5
109.12;107.5;106.75;106.88;109.12
115.75;109.12;107.5;108.38;115.75
117.62;115.75;109.12;108.12;117.62
119.62;117.62;115.75;106.75;119.62
118;119.62;117.62;107.5;118
119.25;118;119.62;109.12;119.25
121;119.25;118;115.75;121
122.62;121;119.25;117.62;122.62
124.25;122.62;121;119.62;124.25
124.5;124.25;122.62;118;124.5
127;124.5;124.25;119.25;127
126.75;127;124.5;121;126.75
126.88;126.75;127;122.62;126.88
127.38;126.88;126.75;124.25;127.38
128.5;127.38;126.88;124.5;128.5
129.88;128.5;127.38;127;129.88
128.5;129.88;128.5;126.75;128.5
129.5;128.5;129.88;126.88;129.5
132.38;129.5;128.5;127.38;132.38
132.75;132.38;129.5;128.5;132.75
134.62;132.75;132.38;129.88;134.62
135;134.62;132.75;128.5;135
137.38;135;134.62;129.5;137.38
139.5;137.38;135;132.38;139.5
137.88;139.5;137.38;132.75;137.88
135.5;137.88;139.5;134.62;135.5
133.25;135.5;137.88;135;133.25
133.62;133.25;135.5;137.38;133.62
129.75;133.62;133.25;139.5;129.75
130.88;129.75;133.62;137.88;130.88
128.75;130.88;129.75;135.5;128.75
131;128.75;130.88;133.25;131
130.62;131;128.75;133.62;130.62
133.5;130.62;131;129.75;133.5
132.88;133.5;130.62;130.88;132.88
132.5;132.88;133.5;128.75;132.5
131.25;132.5;132.88;131;131.25
129.12;131.25;132.5;130.62;129.12
127;129.12;131.25;133.5;127
129.12;127;129.12;132.88;129.12
128.12;129.12;127;132.5;128.12
126.62;128.12;129.12;131.25;126.62
127.88;126.62;128.12;129.12;127.88
115.12;127.88;126.62;127;115.12
114.12;115.12;127.88;129.12;114.12
111.88;114.12;115.12;128.12;111.88
111.62;111.88;114.12;126.62;111.62
113.5;111.62;111.88;127.88;113.5
113.88;113.5;111.62;115.12;113.88
112.88;113.88;113.5;114.12;112.88
113.88;112.88;113.88;111.88;113.88
112.25;113.88;112.88;111.62;112.25
113.25;112.25;113.88;113.5;113.25
113.12;113.25;112.25;113.88;113.12
113.5;113.12;113.25;112.88;113.5
112.62;113.5;113.12;113.88;112.62
113;112.62;113.5;112.25;113
111.25;113;112.62;113.25;111.25
111.25;111.25;113;113.12;111.25
110.62;111.25;111.25;113.5;110.62
108.5;110.62;111.25;112.62;108.5
106.88;108.5;110.62;113;106.88
109.25;106.88;108.5;111.25;109.25
109.88;109.25;106.88;111.25;109.88
109.75;109.88;109.25;110.62;109.75
109.5;109.75;109.88;108.5;109.5
108.5;109.5;109.75;106.88;108.5
108.38;108.5;109.5;109.25;108.38
108.25;108.38;108.5;109.88;108.25
108;108.25;108.38;109.75;108
107.38;108;108.25;109.5;107.38
104.88;107.38;108;108.5;104.88
103;104.88;107.38;108.38;103
104;103;104.88;108.25;104
105.88;104;103;108;105.88
103.62;105.88;104;107.38;103.62
103.38;103.62;105.88;104.88;103.38
101.88;103.38;103.62;103;101.88
103.75;101.88;103.38;104;103.75
105.88;103.75;101.88;105.88;105.88
103.38;105.88;103.75;103.62;103.38
105.88;103.38;105.88;103.38;105.88
106;105.88;103.38;101.88;106
102.75;106;105.88;103.75;102.75
104.12;102.75;106;105.88;104.12
103.75;104.12;102.75;103.38;103.75
103.25;103.75;104.12;105.88;103.25
101.5;103.25;103.75;106;101.5
104.62;101.5;103.25;102.75;104.62
104.62;104.62;101.5;104.12;104.62
105;104.62;104.62;103.75;105
105.12;105;104.62;103.25;105.12
104.12;105.12;105;101.5;104.12
104.38;104.12;105.12;104.62;104.38
106.12;104.38;104.12;104.62;106.12
106.38;106.12;104.38;105;106.38
105;106.38;106.12;105.12;105
103.25;105;106.38;104.12;103.25
103;103.25;105;104.38;103
102;103;103.25;106.12;102
102.38;102;103;106.38;102.38
102.25;102.38;102;105;102.25
101.5;102.25;102.38;103.25;101.5
100.62;101.5;102.25;103;100.62
100.38;100.62;101.5;102;100.38
99.5;100.38;100.62;102.38;99.5
100.88;99.5;100.38;102.25;100.88
101;100.88;99.5;101.5;101
99.12;101;100.88;100.62;99.12
99.62;99.12;101;100.38;99.62
98.38;99.62;99.12;99.5;98.38
99.38;98.38;99.62;100.88;99.38
98.62;99.38;98.38;101;98.62
97.62;98.62;99.38;99.12;97.62
97.12;97.62;98.62;99.62;97.12
98.38;97.12;97.62;98.38;98.38
99.12;98.38;97.12;99.38;99.12
98.12;99.12;98.38;98.62;98.12
98.62;98.12;99.12;97.62;98.62
100.5;98.62;98.12;97.12;100.5
99.5;100.5;98.62;98.38;99.5
98.75;99.5;100.5;99.12;98.75
98.25;98.75;99.5;98.12;98.25
99.38;98.25;98.75;98.62;99.38
99.25;99.38;98.25;100.5;99.25
96.62;99.25;99.38;99.5;96.62
96.25;96.62;99.25;98.75;96.25
98.25;96.25;96.62;98.25;98.25
100.5;98.25;96.25;99.38;100.5
102;100.5;98.25;99.25;102
100.62;102;100.5;96.62;100.62
100.75;100.62;102;96.25;100.75
100.5;100.75;100.62;98.25;100.5
100.5;100.5;100.75;100.5;100.5
101.38;100.5;100.5;102;101.38
101.62;101.38;100.5;100.62;101.62
101.25;101.62;101.38;100.75;101.25
101.25;101.25;101.62;100.5;101.25
100.38;101.25;101.25;100.5;100.38
101;100.38;101.25;101.38;101
100.38;101;100.38;101.62;100.38
99;100.38;101;101.25;99
99.25;99;100.38;101.25;99.25
98.88;99.25;99;100.38;98.88
98.62;98.88;99.25;101;98.62
99;98.62;98.88;100.38;99
98.5;99;98.62;99;98.5
98.38;98.5;99;99.25;98.38
96.5;98.38;98.5;98.88;96.5
95;96.5;98.38;98.62;95
95.75;95;96.5;99;95.75
95.62;95.75;95;98.5;95.62
94.38;95.62;95.75;98.38;94.38
94.88;94.38;95.62;96.5;94.88
95.12;94.88;94.38;95;95.12
95.25;95.12;94.88;95.75;95.25
94.5;95.25;95.12;95.62;94.5
95.5;94.5;95.25;94.38;95.5
96.88;95.5;94.5;94.88;96.88
98;96.88;95.5;95.12;98
98.62;98;96.88;95.25;98.62
98.25;98.62;98;94.5;98.25
99.38;98.25;98.62;95.5;99.38
101;99.38;98.25;96.88;101
99.62;101;99.38;98;99.62
101.38;99.62;101;98.62;101.38
104;101.38;99.62;98.25;104
102.88;104;101.38;99.38;102.88
103.62;102.88;104;101;103.62
104.88;103.62;102.88;99.62;104.88
105.38;104.88;103.62;101.38;105.38
104.88;105.38;104.88;104;104.88
104.25;104.88;105.38;102.88;104.25
104.62;104.25;104.88;103.62;104.62
105.88;104.62;104.25;104.88;105.88
105;105.88;104.62;105.38;105
104.88;105;105.88;104.88;104.88
102.25;104.88;105;104.25;102.25
103.62;102.25;104.88;104.62;103.62
102.62;103.62;102.25;105.88;102.62
101.12;102.62;103.62;105;101.12
99;101.12;102.62;104.88;99
98.25;99;101.12;102.25;98.25
98.88;98.25;99;103.62;98.88
98;98.88;98.25;102.62;98
97.25;98;98.88;101.12;97.25
99.75;97.25;98;99;99.75
99.88;99.75;97.25;98.25;99.88
101.25;99.88;99.75;98.88;101.25
104.25;101.25;99.88;98;104.25
101.62;104.25;101.25;97.25;101.62
99.88;101.62;104.25;99.75;99.88
100.38;99.88;101.62;99.88;100.38
100.25;100.38;99.88;101.25;100.25
98.5;100.25;100.38;104.25;98.5
98.5;98.5;100.25;101.62;98.5
98.25;98.5;98.5;99.88;98.25
98;98.25;98.5;100.38;98
98.25;98;98.25;100.25;98.25
98.88;98.25;98;98.5;98.88
100.25;98.88;98.25;98.5;100.25
98.25;100.25;98.88;98.25;98.25
98.38;98.25;100.25;98;98.38
97;98.38;98.25;98.25;97
